Name,GPT,GKD,GPI,MIP,GA,SVS,SOG,SVS%,GAA,SO,W,L
"Svensson Träff, Ebba",36,36,25,1503:51:00,51,776,827,93.83,2.03,2,13,12
"Brändli, Andrea",36,35,25,1514:10:00,41,606,647,93.66,1.62,2,16,9
"Peslarova, Klara",36,34,20,1228:57:00,36,518,554,93.5,1.76,3,14,6
"Neatby, Stephanie",36,36,26,1565:43:00,62,852,914,93.22,2.38,4,15,11
"Boman, Ida",36,34,27,1618:59:00,51,675,726,92.98,1.89,6,13,14
"Axell, Frida",36,36,17,1026:53:00,26,276,302,91.39,1.52,3,16,1
"Grahn, Sara",36,34,19,1151:11:00,34,337,371,90.84,1.77,4,17,2
"Jonsson, Ellen",36,36,16,909:50:00,34,332,366,90.71,2.24,0,6,10
"Polusny, Emma",36,36,22,1251:20:00,55,512,567,90.3,2.64,3,5,15
"Svejdova, Viktorie",36,36,24,1337:52:00,63,553,616,89.77,2.83,1,7,15
"Skodova, Blanka",36,20,17,953:46:00,79,688,767,89.7,4.97,0,2,13
"Van Noort, Lina",36,32,23,1339:20:00,71,606,677,89.51,3.18,0,10,12
"Stuart, Kate",36,36,15,824:30:00,42,329,371,88.68,3.06,3,6,8
"Holterud Olsson, Linnea",36,28,14,839:35:00,80,506,586,86.35,5.72,0,0,14
"Keisala, Anni",36,35,14,838:54:00,65,350,415,84.34,4.65,0,0,14